Nr.   Classes Functions      NCSS  Javadocs Package
 33   15         2       0        1 com.becker.game.multiplayer.galactic.PlanetComparator
 34  151         6       1        6 com.becker.game.multiplayer.galactic.ui.BattleDialog
 35   78         9       0        7 com.becker.game.multiplayer.galactic.ui.GalacticInfoPanel
 36    9         4       0        0 com.becker.game.multiplayer.galactic.ui.GalacticNewGameDialog
 37   20         3       0        2 com.becker.game.multiplayer.galactic.ui.GalacticOptionsDialog
 38   17         7       0        2 com.becker.game.multiplayer.galactic.ui.GalacticPanel
 39   63         6       0        5 com.becker.game.multiplayer.galactic.ui.GalacticPlayerTable
 40   20         2       0        3 com.becker.game.multiplayer.galactic.ui.GalacticSummaryTable
 41  116        14       0        9 com.becker.game.multiplayer.galactic.ui.OrderDialog
 42   10         4       0        1 com.becker.game.multiplayer.galactic.ui.OrdersTableModel
 43   34         5       0        5 com.becker.game.multiplayer.galactic.ui.PlanetDetailsDialog
 44   45         5       0        3 com.becker.game.multiplayer.galactic.ui.PlanetRenderer
 45   29         3       0        4 com.becker.game.multiplayer.galactic.ui.StatsDialog
 46   99        13       0       10 com.becker.game.multiplayer.online.ui.MultiPlayerOnlineGameDialog
 47    7         2       0        1 com.becker.game.multiplayer.online.ui.MultiPlayerOnlineTable
 48   35         9       0        4 com.becker.game.multiplayer.poker.PokerOptions
 49   38        12       0        5 com.becker.game.multiplayer.poker.PokerPlayerMarker
 50    5         2       0        3 com.becker.game.multiplayer.poker.PokerRound
 51    9         4       0        1 com.becker.game.multiplayer.poker.online.OnlinePokerServer
 52   10         2       0        2 com.becker.game.multiplayer.poker.online.OnlinePokerTable
 53   24         4       0        2 com.becker.game.multiplayer.poker.player.CrazyRobotPlayer
 54   27         3       0        2 com.becker.game.multiplayer.poker.player.MethodicalRobotPlayer
 55    4         1       0        1 com.becker.game.multiplayer.poker.player.PokerHumanPlayer
 56   67        17       0        7 com.becker.game.multiplayer.poker.player.PokerPlayer
 57  102        10       1        6 com.becker.game.multiplayer.poker.ui.BettingDialog
 58    9         4       0        2 com.becker.game.multiplayer.poker.ui.OnlinePokerDialog
 59   84        10       0        8 com.becker.game.multiplayer.poker.ui.PokerInfoPanel
 60    7         3       0        2 com.becker.game.multiplayer.poker.ui.PokerNewGameDialog
 61   34         7       0        2 com.becker.game.multiplayer.poker.ui.PokerOnlineGameTablesTable
 62   15         3       0        2 com.becker.game.multiplayer.poker.ui.PokerOptionsDialog
 63   21         9       0        3 com.becker.game.multiplayer.poker.ui.PokerPanel
 64   26         4       0        4 com.becker.game.multiplayer.poker.ui.PokerPlayerTable
 65   79         6       0        6 com.becker.game.multiplayer.poker.ui.RaiseDialog
 66   42         6       0        2 com.becker.game.multiplayer.poker.ui.RoundOverDialog
 67   11         4       0        1 com.becker.game.multiplayer.set.SetOptions
 68   34        10       0        5 com.becker.game.multiplayer.set.SetPlayer
 69   63        11       0        7 com.becker.game.multiplayer.set.ui.SetInfoPanel
 70    9         4       0        1 com.becker.game.multiplayer.set.ui.SetNewGameDialog
 71   11         3       0        2 com.becker.game.multiplayer.set.ui.SetOptionsDialog
 72   37        10       0        4 com.becker.game.multiplayer.set.ui.SetPanel
 73   22         4       0        4 com.becker.game.multiplayer.set.ui.SetPlayerTable
 74   14         2       0        3 com.becker.game.multiplayer.set.ui.SetSummaryTable
 75   25         6       0        1 com.becker.game.multiplayer.set.ui.SetToolBar
 76    2         1       0        1 com.becker.game.online.OnlineChangeListener
 77    2         1       0        2 com.becker.game.online.OnlineGameServerInterface
 78   70        10       1        9 com.becker.game.online.ServerConnection
 79   14         4       0        1 com.becker.game.online.ui.JoinButton
 80    6         2       0        1 com.becker.game.online.ui.OnlineActionCellEditor
 81   13         4       0        1 com.becker.game.online.ui.OnlineActionCellRenderer
 82   51        10       1        4 com.becker.game.online.ui.OnlineGameDialog
 83  309        20       0       14 com.becker.game.twoplayer.blockade.BlockadeBoard
 84   48        16       0       14 com.becker.game.twoplayer.blockade.BlockadeBoardPosition
 85   49         9       0        5 com.becker.game.twoplayer.blockade.BlockadeMove
 86   25         7       0        7 com.becker.game.twoplayer.blockade.BlockadeWall
 87  254        18       0       13 com.becker.game.twoplayer.blockade.ui.BlockadeBoardViewer
 88    3         1       0        1 com.becker.game.twoplayer.blockade.ui.BlockadeNewGameDialog
 89   15         6       0        3 com.becker.game.twoplayer.blockade.ui.BlockadePanel
 90   49         5       0        5 com.becker.game.twoplayer.blockade.ui.BlockadePieceRenderer
 91   43         8       0        9 com.becker.game.twoplayer.checkers.CheckersBoard
 92  190        12       1       14 com.becker.game.twoplayer.checkers.CheckersController
 93   49        10       0        4 com.becker.game.twoplayer.checkers.CheckersMove
 94    9         2       0        2 com.becker.game.twoplayer.checkers.CheckersPiece
 95  109        14       0        7 com.becker.game.twoplayer.checkers.ui.CheckersBoardViewer
 96    3         1       0        1 com.becker.game.twoplayer.checkers.ui.CheckersNewGameDialog
 97   14         6       0        3 com.becker.game.twoplayer.checkers.ui.CheckersPanel
 98   21         3       0        3 com.becker.game.twoplayer.checkers.ui.CheckersPieceRenderer
 99   71         8       0        6 com.becker.game.twoplayer.chess.ChessBoard
100   93         8       1        8 com.becker.game.twoplayer.chess.ChessController
101   39         8       0        4 com.becker.game.twoplayer.chess.ChessMove
102  130        19       0       17 com.becker.game.twoplayer.chess.ChessPiece
103   30         6       0        3 com.becker.game.twoplayer.chess.ui.ChessBoardViewer
104    5         2       0        1 com.becker.game.twoplayer.chess.ui.ChessNewGameDialog
105   15         6       0        2 com.becker.game.twoplayer.chess.ui.ChessPanel
106   61         5       0        5 com.becker.game.twoplayer.chess.ui.ChessPieceRenderer
107   79        22       0        8 com.becker.game.twoplayer.common.TwoPlayerMove
108   70        23       0       19 com.becker.game.twoplayer.common.TwoPlayerOptions
109    5         4       0        5 com.becker.game.twoplayer.common.TwoPlayerViewerCallbackInterface
110  124         3       0        3 com.becker.game.twoplayer.common.search.MiniMaxStrategy
111   98         4       0        4 com.becker.game.twoplayer.common.search.NegaMaxStrategy
112   72        12       0       10 com.becker.game.twoplayer.common.search.SearchStrategy
113   64        19       0        1 com.becker.game.twoplayer.common.search.SearchTreeNode
114   10         9       0       10 com.becker.game.twoplayer.common.search.Searchable
115   81         7       0        1 com.becker.game.twoplayer.common.ui.EditWeightsDialog
116   65         9       0        2 com.becker.game.twoplayer.common.ui.GameTreeCellRenderer
117  227        20       0       15 com.becker.game.twoplayer.common.ui.GameTreeDialog
118   39         5       0        5 com.becker.game.twoplayer.common.ui.TwoPlayerInfoPanel
119  171        11       0        1 com.becker.game.twoplayer.common.ui.TwoPlayerNewGameDialog
120  122         8       1        6 com.becker.game.twoplayer.common.ui.TwoPlayerOptionsDialog
121   76         9       0        6 com.becker.game.twoplayer.common.ui.TwoPlayerPanel
122   44         8       0        8 com.becker.game.twoplayer.common.ui.TwoPlayerPieceRenderer
123   40         5       0        5 com.becker.game.twoplayer.go.CandidateMoves
124   38         7       0        5 com.becker.game.twoplayer.go.GoArmy
125   77        20       0       16 com.becker.game.twoplayer.go.GoBoardPosition
126   17         1       0        1 com.becker.game.twoplayer.go.GoControllerConstants
127    2         1       0        1 com.becker.game.twoplayer.go.GoMember
128   66        14       0        1 com.becker.game.twoplayer.go.GoProfiler
129   29         8       0        9 com.becker.game.twoplayer.go.GoSet
130   37        10       0        9 com.becker.game.twoplayer.go.GoStone
131  166        28       0       20 com.becker.game.twoplayer.go.GoString
132   11         1       0        1 com.becker.game.twoplayer.go.test.TestAll
133   15         5       0        2 com.becker.game.twoplayer.go.test.TestBlunderCollection
134   12         4       0        2 com.becker.game.twoplayer.go.test.TestEscapeCaptureCollection
135   38        14       0        2 com.becker.game.twoplayer.go.test.TestKiseido2002
136   12         4       0        3 com.becker.game.twoplayer.go.test.TestLifeAndDeath
137    6         1       0        2 com.becker.game.twoplayer.go.test.TestProblemCollections
138   30         7       0        2 com.becker.game.twoplayer.go.test.TestScoring
139   19         3       0        1 com.becker.game.twoplayer.go.test.TestShape
140    6         1       0        2 com.becker.game.twoplayer.go.test.whitebox.TestAllWhiteBox
141  110        30       0        1 com.becker.game.twoplayer.go.test.whitebox.TestGoBoard
142   66        20       0        2 com.becker.game.twoplayer.go.test.whitebox.TestGoGroup
143  121        12       0        9 com.becker.game.twoplayer.go.ui.GoBoardViewer
144   49         6       0        3 com.becker.game.twoplayer.go.ui.GoInfoPanel
145   23         5       0        0 com.becker.game.twoplayer.go.ui.GoNewGameDialog
146   26         9       0        6 com.becker.game.twoplayer.go.ui.GoPanel
147   45         6       0        6 com.becker.game.twoplayer.go.ui.GoStoneRenderer
148    9         3       0        2 com.becker.game.twoplayer.go.ui.GoToolBar
149   69         5       0        3 com.becker.game.twoplayer.go.ui.GoTreeCellRenderer
150   45         9       0        5 com.becker.game.twoplayer.pente.PenteBoard
151  189        12       1       11 com.becker.game.twoplayer.pente.PenteController
152   96         6       0        4 com.becker.game.twoplayer.pente.PentePatterns
153   20         5       0        2 com.becker.game.twoplayer.pente.ui.PenteBoardViewer
154    3         1       0        0 com.becker.game.twoplayer.pente.ui.PenteNewGameDialog
155   15         6       0        2 com.becker.game.twoplayer.pente.ui.PentePanel
Average Object NCSS:                 48.78
Average Object Functions:             7.93
Average Object Inner Classes:         0.06
Average Object Javadoc Comments:      4.74
Program NCSS:                     8,466.00

 Nr. NCSS CCN JVDC Function
   1    1   1    1 com.becker.game.common.BoardInterface.reset()
   2    1   1    1 com.becker.game.common.BoardInterface.setSize(int,int)
   3    1   1    1 com.becker.game.common.BoardInterface.getNumRows()
   4    1   1    1 com.becker.game.common.BoardInterface.getNumCols()
   5    1   1    1 com.becker.game.common.BoardInterface.getMaxNumMoves()
   6    1   1    1 com.becker.game.common.BoardInterface.getPosition(int,int)
   7    1   1    1 com.becker.game.common.BoardInterface.makeMove(Move)
   8    1   1    1 com.becker.game.common.BoardInterface.undoMove()
   9    1   1    1 com.becker.game.common.BoardInterface.inBounds(int,int)
  10    4   1    1 com.becker.game.common.BoardPosition.BoardPosition(int,int,GamePiece)
  11    2   1    1 com.becker.game.common.BoardPosition.getPiece()
  12    2   1    1 com.becker.game.common.BoardPosition.setPiece(GamePiece)
  13    2   1    1 com.becker.game.common.BoardPosition.isUnoccupied()
  14    2   1    1 com.becker.game.common.BoardPosition.isOccupied()
  15    2   1    0 com.becker.game.common.BoardPosition.setRow(int)
  16    2   1    0 com.becker.game.common.BoardPosition.getRow()
  17    2   1    0 com.becker.game.common.BoardPosition.setCol(int)
  18    2   1    0 com.becker.game.common.BoardPosition.getCol()
  19    3   1    0 com.becker.game.common.BoardPosition.setLocation(Location)
  20    2   1    0 com.becker.game.common.BoardPosition.getLocation()
  21    3   1    1 com.becker.game.common.BoardPosition.copy()
  22    7   2    1 com.becker.game.common.BoardPosition.copy(BoardPosition)
  23    4   1    1 com.becker.game.common.BoardPosition.getDistanceFrom(BoardPosition)
  24    2   1    1 com.becker.game.common.BoardPosition.clear()
  25    6   2    1 com.becker.game.common.BoardPosition.toString()
  26    4   1    0 com.becker.game.common.Box.Box(Location,Location)
  27    4   1    0 com.becker.game.common.Box.Box(int,int,int,int)
  28    9   3    1 com.becker.game.common.Box.verify()
  29    2   1    0 com.becker.game.common.Box.getWidth()
  30    2   1    0 com.becker.game.common.Box.getHeight()
  31    2   1    0 com.becker.game.common.Box.getTopLeftCorner()
  32    2   1    0 com.becker.game.common.Box.getBottomRightCorner()
  33    2   1    0 com.becker.game.common.Box.getMinRow()
  34    2   1    0 com.becker.game.common.Box.getMinCol()
  35    2   1    0 com.becker.game.common.Box.getMaxRow()
  36    2   1    0 com.becker.game.common.Box.getMaxCol()
  37    2   1    0 com.becker.game.common.Box.getArea()
  38   11   5    0 com.becker.game.common.Box.expandBy(Location)
  39    3   1    0 com.becker.game.common.Box.expandBy(Box)
  40    6   1    0 com.becker.game.common.Box.toString()
  41    1   1    1 com.becker.game.common.GameControllerInterface.getBoard()
  42    1   1    1 com.becker.game.common.GameControllerInterface.getViewer()
  43    1   1    1 com.becker.game.common.GameControllerInterface.undoLastMove()
  44    1   1    1 com.becker.game.common.GameControllerInterface.makeMove(Move)
  45    1   1    1 com.becker.game.common.GameControllerInterface.getMoveList()
  46    1   1    1 com.becker.game.common.GameControllerInterface.getNumMoves()
  47    1   1    0 com.becker.game.common.GameControllerInterface.getPlayers()
  48    1   1    1 com.becker.game.common.GameControllerInterface.getNumPlayers()
  49    1   1    1 com.becker.game.common.GameControllerInterface.getCurrentPlayer()
  50    1   1    1 com.becker.game.common.GameControllerInterface.allPlayersHuman()
  51    1   1    1 com.becker.game.common.GameControllerInterface.allPlayersComputer()
  52    1   1    1 com.becker.game.common.GameControllerInterface.computerMovesFirst()
  53    1   1    1 com.becker.game.common.GameControllerInterface.isDone()
  54    1   1    0 com.becker.game.common.GameOptions.GameOptions()
  55    1   1    1 com.becker.game.common.GameOptions.getMaxNumPlayers()
  56    2   1    1 com.becker.game.common.GameOptions.testValidity()
  57    4   1    1 com.becker.game.common.GamePiece.GamePiece()
  58    4   1    1 com.becker.game.common.GamePiece.GamePiece(boolean)
  59    4   1    1 com.becker.game.common.GamePiece.GamePiece(boolean,char)
  60    2   1    0 com.becker.game.common.GamePiece.setType(char)
  61    2   1    0 com.becker.game.common.GamePiece.getType()
  62    2   1    0 com.becker.game.common.GamePiece.isOwnedByPlayer1()
  63    2   1    0 com.becker.game.common.GamePiece.setTransparency(short)
  64    2   1    0 com.becker.game.common.GamePiece.getTransparency()
  65    2   1    1 com.becker.game.common.GamePiece.setAnnotation(String)
  66    2   1    1 com.becker.game.common.GamePiece.getAnnotation()
  67    5   1    1 com.becker.game.common.GamePiece.copy()
  68    5   1    1 com.becker.game.common.GamePiece.copy(GamePiece)
  69    8   2    1 com.becker.game.common.GamePiece.toString()
  70    9   2    0 com.becker.game.common.GameWeights.GameWeights(ParameterArray)
  71    9   2    0 com.becker.game.common.GameWeights.GameWeights(double[],double[],String[],String[])
  72    3   1    0 com.becker.game.common.GameWeights.init()
  73    2   1    0 com.becker.game.common.GameWeights.getNumWeights()
  74    2   1    1 com.becker.game.common.GameWeights.getPlayer1Weights()
  75    2   1    1 com.becker.game.common.GameWeights.getPlayer2Weights()
  76    3   1    0 com.becker.game.common.GameWeights.setPlayer1Weights(ParameterArray)
  77    3   1    0 com.becker.game.common.GameWeights.setPlayer2Weights(ParameterArray)
  78    2   1    0 com.becker.game.common.GameWeights.verify(ParameterArray)
  79    2   1    1 com.becker.game.common.GameWeights.getDefaultWeights()
  80    2   1    1 com.becker.game.common.GameWeights.getName(int)
  81    2   1    1 com.becker.game.common.GameWeights.getDescription(int)
  82    2   1    1 com.becker.game.common.GameWeights.getMaxWeight(int)
  83    2   1    1 com.becker.game.common.GameWeights.toString()
  84    1   1    1 com.becker.game.common.Move.Move()
  85    8   5    1 com.becker.game.common.Move.compareTo(Object)
  86    8   5    1 com.becker.game.common.Move.compare(Object,Object)
  87    2   1    0 com.becker.game.common.Move.toString()
  88    2   1    0 com.becker.game.common.Move.getValue()
  89    2   1    0 com.becker.game.common.Move.setValue(double)
  90    4   1    0 com.becker.game.common.Player.Player(String,Color,boolean)
  91    2   1    0 com.becker.game.common.Player.getName()
  92    2   1    0 com.becker.game.common.Player.setName(String)
  93    2   1    0 com.becker.game.common.Player.getColor()
  94    2   1    0 com.becker.game.common.Player.setColor(Color)
  95    2   1    0 com.becker.game.common.Player.isHuman()
  96    2   1    0 com.becker.game.common.Player.setHuman(boolean)
  97    2   1    0 com.becker.game.common.Player.hasWon()
  98    2   1    1 com.becker.game.common.Player.setWon(boolean)
  99    3   1    1 com.becker.game.common.Player.equals(Object)
 100    6   2    0 com.becker.game.common.Player.toString()
 101    1   1    1 com.becker.game.common.ViewerCallbackInterface.reset()
 102    1   1    1 com.becker.game.common.ViewerCallbackInterface.getController()
 103   16   3    0 com.becker.game.common.ui.GameApplet.init()
 104    3   1    1 com.becker.game.common.ui.GameApplet.setSize(int,int)
 105    2   1    1 com.becker.game.common.ui.GameApplet.getParameter(String,String)
 106    4   1    1 com.becker.game.common.ui.GameChangedEvent.GameChangedEvent(Move,GameControllerInterface,Object)
 107    2   1    1 com.becker.game.common.ui.GameChangedEvent.getController()
 108    2   1    1 com.becker.game.common.ui.GameChangedEvent.getMove()
 109    1   1    0 com.becker.game.common.ui.GameChangedListener.gameChanged(GameChangedEvent)
 110   11   1    1 com.becker.game.common.ui.GameInfoPanel.GameInfoPanel(GameController)
 111    2   1    0 com.becker.game.common.ui.GameInfoPanel.setParentFrame(JFrame)
 112    5   2    1 com.becker.game.common.ui.GameInfoPanel.createSubPanels()
 113    2   1    0 com.becker.game.common.ui.GameInfoPanel.getMinWidth()
 114    5   1    0 com.becker.game.common.ui.GameInfoPanel.initPlayerLabel()
 115    1   1    1 com.becker.game.common.ui.GameInfoPanel.reset()
 116    2   1    1 com.becker.game.common.ui.GameInfoPanel.getTitleText()
 117    2   1    1 com.becker.game.common.ui.GameInfoPanel.createCustomInfoPanel()
 118   11   1    1 com.becker.game.common.ui.GameInfoPanel.createGeneralInfoPanel()
 119    2   1    0 com.becker.game.common.ui.GameInfoPanel.getMoveNumLabel()
 120    2   1    0 com.becker.game.common.ui.GameInfoPanel.getPlayerLabelBorder(Color)
 121    9   3    1 com.becker.game.common.ui.GameInfoPanel.createRowEntryPanel(JComponent,JComponent)
 122    2   1    0 com.becker.game.common.ui.GameInfoPanel.createRowEntryPanel(JComponent)
 123    4   1    0 com.becker.game.common.ui.GameInfoPanel.createPanel()
 124    5   1    1 com.becker.game.common.ui.GameInfoPanel.createSectionPanel(String)
 125    2   1    0 com.becker.game.common.ui.GameInfoPanel.createLabel()
 126    5   1    0 com.becker.game.common.ui.GameInfoPanel.createLabel(String)
 127    1   1    1 com.becker.game.common.ui.GameInfoPanel.setPlayerLabel()
 128    2   1    0 com.becker.game.common.ui.GameInfoPanel.createMarginBorder()
 129    6   4    1 com.becker.game.common.ui.GameInfoPanel.gameChanged(GameChangedEvent)
 130    2   1    1 com.becker.game.common.ui.GamePanel.GamePanel()
 131    3   1    1 com.becker.game.common.ui.GamePanel.init(JFrame)
 132    2   1    0 com.becker.game.common.ui.GamePanel.openGame()
 133    2   1    0 com.becker.game.common.ui.GamePanel.saveGame()
 134    1   1    1 com.becker.game.common.ui.GamePanel.getTitle()
 135    2   1    0 com.becker.game.common.ui.GamePanel.createToolbar()
 136    2   1    1 com.becker.game.common.ui.GamePanel.isOnlinePlayAvailable()
 137   43   4    1 com.becker.game.common.ui.GamePanel.initGui(JFrame)
 138    2   1    0 com.becker.game.common.ui.GamePanel.createBottomDecorationPanel()
 139    1   1    1 com.becker.game.common.ui.GamePanel.createBoardViewer()
 140    1   1    1 com.becker.game.common.ui.GamePanel.createNewGameDialog(JFrame,ViewerCallbackInterface)
 141    2   1    1 com.becker.game.common.ui.GamePanel.createOnlineGameDialog(JFrame,ViewerCallbackInterface)
 142    1   1    1 com.becker.game.common.ui.GamePanel.createOptionsDialog(JFrame,GameController)
 143    1   1    1 com.becker.game.common.ui.GamePanel.createInfoPanel(GameController)
 144    1   1    1 com.becker.game.common.ui.GamePanel.showHelpDialog()
 145    4   1    1 com.becker.game.common.ui.GamePanel.showHelpDialog(String,String,String)
 146    2   1    1 com.becker.game.common.ui.GamePanel.setSize(int,int)
 147    9   2    0 com.becker.game.common.ui.GamePanel.saveSnapshot()
 148    5   3    1 com.becker.game.common.ui.GamePanel.destroy()
 149    2   1    1 com.becker.game.common.ui.GamePanel.gameChanged(GameChangedEvent)
 150   25   8    1 com.becker.game.common.ui.GamePanel.actionPerformed(ActionEvent)
 151    1   1    1 com.becker.game.common.ui.GamePieceRenderer.GamePieceRenderer()
 152    1   1    1 com.becker.game.common.ui.GamePieceRenderer.getPieceColor(GamePiece)
 153    5   2    0 com.becker.game.common.ui.GamePieceRenderer.getPieceSize(int,GamePiece)
 154    5   1    0 com.becker.game.common.ui.GamePieceRenderer.getPosition(BoardPosition,int,int)
 155    2   1    0 com.becker.game.common.ui.GamePieceRenderer.getTextColor(GamePiece)
 156   19   5    1 com.becker.game.common.ui.GamePieceRenderer.render(Graphics2D,BoardPosition,int,Board)
 157    3   1    0 com.becker.game.common.ui.GameToolBar.GameToolBar(ImageIcon,ActionListener)
 158   18   2    0 com.becker.game.common.ui.GameToolBar.init()
 159    1   1    1 com.becker.game.common.ui.GameToolBar.addCustomToolBarButtons()
 160    2   1    0 com.becker.game.common.ui.GameToolBar.getNewGameButton()
 161    2   1    0 com.becker.game.common.ui.GameToolBar.getUndoButton()
 162    2   1    0 com.becker.game.common.ui.GameToolBar.getRedoButton()
 163    2   1    0 com.becker.game.common.ui.GameToolBar.getOptionsButton()
 164    2   1    0 com.becker.game.common.ui.GameToolBar.getHelpButton()
 165    2   1    0 com.becker.game.common.ui.GameToolBar.hasUndoRedo()
 166    9   1    1 com.becker.game.common.ui.HelpDialog.HelpDialog(Frame,String,String,String)
 167   26   1    1 com.becker.game.common.ui.HelpDialog.initGUI()
 168   11   1    1 com.becker.game.common.ui.HelpDialog.createOverviewTextArea()
 169   20   1    0 com.becker.game.common.ui.HelpDialog.createSummaryPanel()
 170    2   1    0 com.becker.game.common.ui.HelpDialog.cancel()
 171    3   2    0 com.becker.game.common.ui.HelpDialog.actionPerformed(ActionEvent)
 172    5   1    0 com.becker.game.common.ui.NewGameDialog.NewGameDialog(JFrame,ViewerCallbackInterface)
 173   13   1    0 com.becker.game.common.ui.NewGameDialog.initUI()
 174   13   4    0 com.becker.game.common.ui.NewGameDialog.createPlayLocalPanel()
 175    1   1    0 com.becker.game.common.ui.NewGameDialog.createPlayerPanel()
 176    7   1    0 com.becker.game.common.ui.NewGameDialog.createButtonsPanel()
 177    2   1    1 com.becker.game.common.ui.NewGameDialog.createCustomPanel()
 178    2   1    1 com.becker.game.common.ui.NewGameDialog.createCustomBoardConfigPanel()
 179    2   1    0 com.becker.game.common.ui.NewGameDialog.getTitle()
 180   22   3    0 com.becker.game.common.ui.NewGameDialog.createBoardParamPanel()
 181   20   1    0 com.becker.game.common.ui.NewGameDialog.createLoadGamePanel()
 182   10   3    0 com.becker.game.common.ui.NewGameDialog.ok()
 183   10   3    0 com.becker.game.common.ui.NewGameDialog.openFile()
 184   10   4    0 com.becker.game.common.ui.NewGameDialog.actionPerformed(ActionEvent)
 185    2   1    0 com.becker.game.multiplayer.common.MultiGameOptions.MultiGameOptions()
 186    3   1    0 com.becker.game.multiplayer.common.MultiGameOptions.MultiGameOptions(int,int)
 187    2   1    0 com.becker.game.multiplayer.common.MultiGameOptions.getMaxNumPlayers()
 188    2   1    0 com.becker.game.multiplayer.common.MultiGameOptions.setMaxNumPlayers(int)
 189    2   1    0 com.becker.game.multiplayer.common.MultiGameOptions.getNumRobotPlayers()
 190    2   1    0 com.becker.game.multiplayer.common.MultiGameOptions.setNumRobotPlayers(int)
 191    5   2    1 com.becker.game.multiplayer.common.MultiGameOptions.testValidity()
 192    2   1    0 com.becker.game.multiplayer.common.MultiGamePlayer.MultiGamePlayer(String,Color,boolean)
 193    7   2    1 com.becker.game.multiplayer.common.MultiGamePlayer.getNewPlayerColor(Player[])
 194   14   6    1 com.becker.game.multiplayer.common.MultiGamePlayer.isHueUniqueEnough(float,Player[])
 195    2   1    0 com.becker.game.multiplayer.common.PlayerAction.PlayerAction(String)
 196    2   1    0 com.becker.game.multiplayer.common.PlayerAction.getPlayerName()
 197    2   1    0 com.becker.game.multiplayer.common.ui.MultiGameOptionsDialog.MultiGameOptionsDialog(JFrame,GameController)
 198    4   1    0 com.becker.game.multiplayer.common.ui.MultiGameOptionsDialog.initMultiControllerParamComponents(MultiGameOptions)
