Nr.   Classes Functions      NCSS  Javadocs Package
Average Object Functions:            10.61
Average Object Inner Classes:         0.05
Average Object Javadoc Comments:      8.11
Program NCSS:                    10,558.00

 Nr. NCSS CCN JVDC Function
   1    1   1    1 com.becker.game.common.Board.reset()
   2    6   1    1 com.becker.game.common.Board.setSize(int,int)
   3    2   1    1 com.becker.game.common.Board.getNumRows()
   4    2   1    1 com.becker.game.common.Board.getNumCols()
   5    1   1    1 com.becker.game.common.Board.getMaxNumMoves()
   6    4   3    1 com.becker.game.common.Board.getPosition(int,int)
   7    2   1    1 com.becker.game.common.Board.getPosition(Location)
   8    8   3    1 com.becker.game.common.Board.clone()
   9    2   1    1 com.becker.game.common.Board.clear(BoardPosition)
  10   16   8    1 com.becker.game.common.Board.equals(Object)
  11   11   3    1 com.becker.game.common.Board.makeMove(Move)
  12    1   1    1 com.becker.game.common.Board.undoMove(Move)
  13    2   1    1 com.becker.game.common.Board.inBounds(int,int)
  14    2   1    1 com.becker.game.common.Board.isOnEdge(BoardPosition)
  15    1   1    1 com.becker.game.common.Board.initializeGobalProfilingStats()
  16    1   1    1 com.becker.game.common.Board.showProfileStats(long)
  17    2   1    1 com.becker.game.common.Board.dispose()
  18    1   1    1 com.becker.game.common.BoardInterface.reset()
  19    1   1    1 com.becker.game.common.BoardInterface.setSize(int,int)
  20    1   1    1 com.becker.game.common.BoardInterface.getNumRows()
  21    1   1    1 com.becker.game.common.BoardInterface.getNumCols()
  22    1   1    1 com.becker.game.common.BoardInterface.getMaxNumMoves()
  23    1   1    1 com.becker.game.common.BoardInterface.getPosition(int,int)
  24    1   1    1 com.becker.game.common.BoardInterface.makeMove(Move)
  25    1   1    1 com.becker.game.common.BoardInterface.undoMove(Move)
  26    1   1    1 com.becker.game.common.BoardInterface.inBounds(int,int)
  27    4   1    1 com.becker.game.common.BoardPosition.BoardPosition(int,int,GamePiece)
  28    2   1    1 com.becker.game.common.BoardPosition.getPiece()
  29    2   1    1 com.becker.game.common.BoardPosition.setPiece(GamePiece)
  30    2   1    1 com.becker.game.common.BoardPosition.isUnoccupied()
  31    2   1    1 com.becker.game.common.BoardPosition.isOccupied()
  32    2   1    0 com.becker.game.common.BoardPosition.setRow(int)
  33    2   1    0 com.becker.game.common.BoardPosition.getRow()
  34    2   1    0 com.becker.game.common.BoardPosition.setCol(int)
  35    2   1    0 com.becker.game.common.BoardPosition.getCol()
  36    3   1    0 com.becker.game.common.BoardPosition.setLocation(Location)
  37    2   1    0 com.becker.game.common.BoardPosition.getLocation()
  38    3   1    1 com.becker.game.common.BoardPosition.copy()
  39    7   2    1 com.becker.game.common.BoardPosition.copy(BoardPosition)
  40    4   1    1 com.becker.game.common.BoardPosition.getDistanceFrom(BoardPosition)
  41    6   2    1 com.becker.game.common.BoardPosition.toString()
  42    2   1    1 com.becker.game.common.CaptureList.removeFromBoard(Board)
  43    2   1    1 com.becker.game.common.CaptureList.restoreOnBoard(Board)
  44    9   3    1 com.becker.game.common.CaptureList.modifyCaptures(Board,boolean)
  45    7   4    1 com.becker.game.common.CaptureList.alreadyCaptured(BoardPosition)
  46    7   2    1 com.becker.game.common.CaptureList.copy()
  47    9   4    1 com.becker.game.common.CaptureList.addAllCopied(Collection)
  48    7   2    1 com.becker.game.common.CaptureList.toString()
  49    2   1    1 com.becker.game.common.GameContext.getDebugMode()
  50    2   1    1 com.becker.game.common.GameContext.setDebugMode(int)
  51    2   1    1 com.becker.game.common.GameContext.isProfiling()
  52    2   1    1 com.becker.game.common.GameContext.setProfiling(boolean)
  53    2   1    1 com.becker.game.common.GameContext.setLogger(Log)
  54    2   1    1 com.becker.game.common.GameContext.getLogger()
  55    3   2    1 com.becker.game.common.GameContext.log(int,String)
  56    4   2    1 com.becker.game.common.GameContext.setUseSound(boolean)
  57    2   1    1 com.becker.game.common.GameContext.getUseSound()
  58    2   1    1 com.becker.game.common.GameContext.getPreferredTone()
  59    4   2    1 com.becker.game.common.GameContext.getMusicMaker()
  60    6   2    1 com.becker.game.common.GameContext.getHomeDir()
  61    3   1    1 com.becker.game.common.GameContext.setGameName(String)
  62    2   1    0 com.becker.game.common.GameContext.getDefaultLocaleName()
  63    5   2    0 com.becker.game.common.GameContext.loadGameResources()
  64    5   1    1 com.becker.game.common.GameContext.setLocale(LocaleType)
  65   13   6    1 com.becker.game.common.GameContext.getLabel(String)
  66    7   2    0 com.becker.game.common.GameContext.initCommonMessages(LocaleType)
  67   35  10    1 com.becker.game.common.GameContext.verifyConsistentMessageBundles()
  68    2   1    0 com.becker.game.common.GameContext.main(String[])
  69    2   1    1 com.becker.game.common.GameController.GameController()
  70    2   1    1 com.becker.game.common.GameController.setViewer(ViewerCallbackInterface)
  71    3   1    1 com.becker.game.common.GameController.reset()
  72    2   1    1 com.becker.game.common.GameController.getViewer()
  73    2   1    1 com.becker.game.common.GameController.getStrengthOfWin()
  74    1   1    0 com.becker.game.common.GameController.getCurrentPlayer()
  75    2   1    1 com.becker.game.common.GameController.getFirstPlayer()
  76    4   3    1 com.becker.game.common.GameController.getLastMove()
  77    2   1    1 com.becker.game.common.GameController.getBoard()
  78    1   1    1 com.becker.game.common.GameController.initializeData()
  79    6   3    1 com.becker.game.common.GameController.undoLastMove()
  80   10   5    0 com.becker.game.common.GameController.checkMove(Move)
  81    4   1    1 com.becker.game.common.GameController.makeMove(Move)
  82    2   1    1 com.becker.game.common.GameController.getMoveSequence()
  83    6   3    1 com.becker.game.common.GameController.getNumMoves()
  84    2   1    1 com.becker.game.common.GameController.dispose()
  85    2   1    1 com.becker.game.common.GameController.saveToFile(String,AssertionError)
  86    2   1    1 com.becker.game.common.GameController.getPlayers()
  87    2   1    1 com.becker.game.common.GameController.setPlayers(Player[])
  88    2   1    1 com.becker.game.common.GameController.getNumPlayers()
  89    5   4    1 com.becker.game.common.GameController.allPlayersHuman()
  90    5   4    1 com.becker.game.common.GameController.allPlayersComputer()
  91    2   1    1 com.becker.game.common.GameController.saveToFile(String)
  92    1   1    1 com.becker.game.common.GameControllerInterface.getBoard()
  93    1   1    1 com.becker.game.common.GameControllerInterface.getViewer()
  94    1   1    1 com.becker.game.common.GameControllerInterface.undoLastMove()
  95    1   1    1 com.becker.game.common.GameControllerInterface.makeMove(Move)
  96    1   1    1 com.becker.game.common.GameControllerInterface.getMoveSequence()
  97    1   1    1 com.becker.game.common.GameControllerInterface.getNumMoves()
  98    1   1    1 com.becker.game.common.GameControllerInterface.getPlayers()
  99    1   1    1 com.becker.game.common.GameControllerInterface.getNumPlayers()
 100    1   1    1 com.becker.game.common.GameControllerInterface.getCurrentPlayer()
 101    1   1    1 com.becker.game.common.GameControllerInterface.allPlayersHuman()
 102    1   1    1 com.becker.game.common.GameControllerInterface.allPlayersComputer()
 103    1   1    1 com.becker.game.common.GameControllerInterface.computerMovesFirst()
 104    1   1    1 com.becker.game.common.GameControllerInterface.done()
 105    4   1    1 com.becker.game.common.GamePiece.GamePiece()
 106    4   1    1 com.becker.game.common.GamePiece.GamePiece(boolean)
 107    4   1    1 com.becker.game.common.GamePiece.GamePiece(boolean,char)
 108    2   1    0 com.becker.game.common.GamePiece.setType(char)
 109    2   1    0 com.becker.game.common.GamePiece.getType()
 110    2   1    0 com.becker.game.common.GamePiece.isOwnedByPlayer1()
 111    2   1    0 com.becker.game.common.GamePiece.setTransparency(short)
 112    2   1    0 com.becker.game.common.GamePiece.getTransparency()
 113    2   1    1 com.becker.game.common.GamePiece.setAnnotation(String)
 114    2   1    1 com.becker.game.common.GamePiece.getAnnotation()
 115    5   1    1 com.becker.game.common.GamePiece.copy()
 116    5   1    1 com.becker.game.common.GamePiece.copy(GamePiece)
 117    8   2    1 com.becker.game.common.GamePiece.toString()
 118    9   2    0 com.becker.game.common.GameWeights.GameWeights(ParameterArray)
 119    9   2    0 com.becker.game.common.GameWeights.GameWeights(double[],double[],String[],String[])
 120    3   1    0 com.becker.game.common.GameWeights.init()
 121    2   1    0 com.becker.game.common.GameWeights.getNumWeights()
 122    2   1    1 com.becker.game.common.GameWeights.getPlayer1Weights()
 123    2   1    1 com.becker.game.common.GameWeights.getPlayer2Weights()
 124    3   1    0 com.becker.game.common.GameWeights.setPlayer1Weights(ParameterArray)
 125    3   1    0 com.becker.game.common.GameWeights.setPlayer2Weights(ParameterArray)
 126    2   1    0 com.becker.game.common.GameWeights.verify(ParameterArray)
 127    2   1    1 com.becker.game.common.GameWeights.getDefaultWeights()
 128    2   1    1 com.becker.game.common.GameWeights.getName(int)
 129    2   1    1 com.becker.game.common.GameWeights.getDescription(int)
 130    2   1    1 com.becker.game.common.GameWeights.getMaxWeight(int)
 131    2   1    1 com.becker.game.common.GameWeights.toString()
 132    3   1    1 com.becker.game.common.LocaleType.LocaleType(int,String,Locale)
 133    2   1    0 com.becker.game.common.LocaleType.getEnumeratedType()
 134    2   1    0 com.becker.game.common.LocaleType.getAvailableLocales()
 135   11   3    1 com.becker.game.common.LocaleType.get(String,boolean)
 136    2   1    0 com.becker.game.common.LocaleType.getLocale()
 137    1   1    1 com.becker.game.common.Location.Location()
 138    3   1    1 com.becker.game.common.Location.Location(int,int)
 139    2   1    1 com.becker.game.common.Location.equals(Location)
 140    5   1    1 com.becker.game.common.Location.getDistanceFrom(Location)
 141    5   1    1 com.becker.game.common.Location.getDistanceFrom(Point2D)
 142    2   1    1 com.becker.game.common.Location.toString()
 143    1   1    1 com.becker.game.common.Move.Move()
 144    8   5    1 com.becker.game.common.Move.compareTo(Object)
 145    8   5    1 com.becker.game.common.Move.compare(Object,Object)
 146    2   1    0 com.becker.game.common.Move.toString()
 147    4   1    0 com.becker.game.common.Player.Player(String,Color,boolean)
 148    2   1    0 com.becker.game.common.Player.getName()
 149    2   1    0 com.becker.game.common.Player.setName(String)
 150    2   1    0 com.becker.game.common.Player.getColor()
 151    2   1    0 com.becker.game.common.Player.setColor(Color)
 152    2   1    0 com.becker.game.common.Player.isHuman()
 153    2   1    0 com.becker.game.common.Player.setHuman(boolean)
 154    2   1    0 com.becker.game.common.Player.hasWon()
 155    2   1    1 com.becker.game.common.Player.setWon()
 156    6   2    0 com.becker.game.common.Player.toString()
 157    2   1    0 com.becker.game.common.ui.GameApp.WindowAdapter.windowClosing(WindowEvent)
 158   10   1    1 com.becker.game.common.ui.GameApp.GameApp()
 159   19   1    1 com.becker.game.common.ui.GameApp.init()
 160   16   4    1 com.becker.game.common.ui.GameApp.showGame(String)
 161   10   2    1 com.becker.game.common.ui.GameApp.addMenuBar()
 162    4   1    0 com.becker.game.common.ui.GameApp.createMenuItem(String)
 163    3   1    1 com.becker.game.common.ui.GameApp.actionPerformed(ActionEvent)
 164   10   2    1 com.becker.game.common.ui.GameApp.main(String[])
 165   17   3    0 com.becker.game.common.ui.GameApplet.init()
 166    3   1    1 com.becker.game.common.ui.GameApplet.setSize(int,int)
 167    2   1    1 com.becker.game.common.ui.GameApplet.getParameter(String,String)
 168   12   1    1 com.becker.game.common.ui.GameBoardViewer.GameBoardViewer()
 169    1   1    1 com.becker.game.common.ui.GameBoardViewer.createController()
 170    2   1    1 com.becker.game.common.ui.GameBoardViewer.getController()
 171    2   1    1 com.becker.game.common.ui.GameBoardViewer.setProgressBar(JProgressBar)
 172    6   2    1 com.becker.game.common.ui.GameBoardViewer.openFile(String)
 173    2   1    0 com.becker.game.common.ui.GameBoardViewer.getDefaultGridColor()
 174    2   1    1 com.becker.game.common.ui.GameBoardViewer.refresh()
 175    2   1    1 com.becker.game.common.ui.GameBoardViewer.showLastMove()
 176   10   2    1 com.becker.game.common.ui.GameBoardViewer.restoreGame(SGFGame)
 177    1   1    1 com.becker.game.common.ui.GameBoardViewer.createMoveFromToken(MoveToken,int)
 178   12   5    1 com.becker.game.common.ui.GameBoardViewer.extractMoveList(SGFTree,java.util.List)
 179    7   1    1 com.becker.game.common.ui.GameBoardViewer.reset()
 180    1   1    1 com.becker.game.common.ui.GameBoardViewer.startNewGame()
 181    2   1    1 com.becker.game.common.ui.GameBoardViewer.getCellSize()
 182    2   1    1 com.becker.game.common.ui.GameBoardViewer.getDefaultCellSize()
 183    2   1    1 com.becker.game.common.ui.GameBoardViewer.getPieceRenderer()
 184    5   2    1 com.becker.game.common.ui.GameBoardViewer.setViewOnly(boolean)
 185    3   1    1 com.becker.game.common.ui.GameBoardViewer.gameChanged(GameChangedEvent)
 186    3   1    1 com.becker.game.common.ui.GameBoardViewer.sendGameChangedEvent(Move)
 187   17   7    1 com.becker.game.common.ui.GameBoardViewer.showMoveSequence(java.util.List)
 188    2   1    1 com.becker.game.common.ui.GameBoardViewer.canUndoMove()
 189    2   1    1 com.becker.game.common.ui.GameBoardViewer.canRedoMove()
 190    3   1    1 com.becker.game.common.ui.GameBoardViewer.showWinnerDialog()
 191    1   1    1 com.becker.game.common.ui.GameBoardViewer.getGameOverMessage()
 192    3   1    1 com.becker.game.common.ui.GameBoardViewer.setBackground(Color)
 193    2   1    1 com.becker.game.common.ui.GameBoardViewer.getBackground()
 194    3   1    1 com.becker.game.common.ui.GameBoardViewer.setGridColor(Color)
 195    2   1    1 com.becker.game.common.ui.GameBoardViewer.getGridColor()
 196    2   1    1 com.becker.game.common.ui.GameBoardViewer.addGameChangedListener(GameChangedListener)
 197    2   1    1 com.becker.game.common.ui.GameBoardViewer.removeGameChangedListener(GameChangedListener)
 198    7   3    1 com.becker.game.common.ui.GameBoardViewer.processEvent(AWTEvent)
 199    1   1    0 com.becker.game.common.ui.GameBoardViewer.mouseClicked(MouseEvent)
 200    1   1    0 com.becker.game.common.ui.GameBoardViewer.mousePressed(MouseEvent)
 201    1   1    0 com.becker.game.common.ui.GameBoardViewer.mouseReleased(MouseEvent)
 202    1   1    0 com.becker.game.common.ui.GameBoardViewer.mouseEntered(MouseEvent)
 203    1   1    0 com.becker.game.common.ui.GameBoardViewer.mouseExited(MouseEvent)
 204   11   2    1 com.becker.game.common.ui.GameBoardViewer.calcCellSize(int,int)
 205    3   1    0 com.becker.game.common.ui.GameBoardViewer.drawBackground(Graphics,int,int,int)
 206   33   5    1 com.becker.game.common.ui.GameBoardViewer.paintComponent(Graphics)
 207    1   1    1 com.becker.game.common.ui.GameBoardViewer.drawLastMoveMarker(Graphics2D)
 208    2   1    1 com.becker.game.common.ui.GameBoardViewer.getBoard()
 209   10   2    1 com.becker.game.common.ui.GameBoardViewer.assertFailed(AssertionError)
 210    5   3    1 com.becker.game.common.ui.GameBoardViewer.drawMarkers(int,int,Graphics2D)
 211    2   1    1 com.becker.game.common.ui.GameBoardViewer.offsetGrid()
 212    4   1    1 com.becker.game.common.ui.GameBoardViewer.createLocation(MouseEvent,int)
 213    4   1    1 com.becker.game.common.ui.GameBoardViewer.dispose()
 214    4   1    1 com.becker.game.common.ui.GameChangedEvent.GameChangedEvent(Move,GameControllerInterface,Object)
 215    2   1    1 com.becker.game.common.ui.GameChangedEvent.getController()
 216    2   1    1 com.becker.game.common.ui.GameChangedEvent.getMove()
 217    1   1    0 com.becker.game.common.ui.GameChangedListener.gameChanged(GameChangedEvent)
 218   11   1    1 com.becker.game.common.ui.GameInfoPanel.GameInfoPanel(GameController)
 219    5   2    1 com.becker.game.common.ui.GameInfoPanel.createSubPanels()
 220    2   1    1 com.becker.game.common.ui.GameInfoPanel.getTitleText()
 221    2   1    1 com.becker.game.common.ui.GameInfoPanel.createCustomInfoPanel()
 222   14   1    1 com.becker.game.common.ui.GameInfoPanel.createGeneralInfoPanel()
 223    2   1    0 com.becker.game.common.ui.GameInfoPanel.getMoveNumLabel()
 224    9   3    1 com.becker.game.common.ui.GameInfoPanel.createRowEntryPanel(JComponent,JComponent)
 225    2   1    0 com.becker.game.common.ui.GameInfoPanel.createRowEntryPanel(JComponent)
 226    4   1    0 com.becker.game.common.ui.GameInfoPanel.createPanel()
 227    5   1    1 com.becker.game.common.ui.GameInfoPanel.createSectionPanel(String)
 228    2   1    0 com.becker.game.common.ui.GameInfoPanel.createLabel()
 229    4   1    0 com.becker.game.common.ui.GameInfoPanel.createLabel(String)
 230    1   1    1 com.becker.game.common.ui.GameInfoPanel.setPlayerLabel()
 231    2   1    0 com.becker.game.common.ui.GameInfoPanel.createMarginBorder()
 232    6   4    1 com.becker.game.common.ui.GameInfoPanel.gameChanged(GameChangedEvent)
 233    4   1    0 com.becker.game.common.ui.GameOptionsDialog.GameOptionsDialog(JFrame,GameController)
 234   19   2    0 com.becker.game.common.ui.GameOptionsDialog.initUI()
 235    2   1    0 com.becker.game.common.ui.GameOptionsDialog.getTitle()
 236    7   1    0 com.becker.game.common.ui.GameOptionsDialog.createButtonsPanel()
 237    2   1    1 com.becker.game.common.ui.GameOptionsDialog.createControllerParamPanel()
 238    6   1    1 com.becker.game.common.ui.GameOptionsDialog.createDebugParamPanel()
 239    8   1    0 com.becker.game.common.ui.GameOptionsDialog.createDebugOptionsPanel()
 240    5   1    0 com.becker.game.common.ui.GameOptionsDialog.addDebugLevel(JPanel)
 241   22   4    1 com.becker.game.common.ui.GameOptionsDialog.addLoggerSection(JPanel)
 242    6   1    0 com.becker.game.common.ui.GameOptionsDialog.addProfileCheckBox(JPanel)
 243   11   1    0 com.becker.game.common.ui.GameOptionsDialog.createRadioButtonPanel(JRadioButton,ButtonGroup,boolean)
 244   29   1    1 com.becker.game.common.ui.GameOptionsDialog.createLookAndFeelParamPanel()
 245   18   2    1 com.becker.game.common.ui.GameOptionsDialog.createLocalePanel()
 246   13   2    1 com.becker.game.common.ui.GameOptionsDialog.ok()
 247   10   4    1 com.becker.game.common.ui.GameOptionsDialog.actionPerformed(ActionEvent)
 248    9   4    1 com.becker.game.common.ui.GameOptionsDialog.itemStateChanged(ItemEvent)
 249    3   1    1 com.becker.game.common.ui.GamePanel.GamePanel()
 250    5   2    1 com.becker.game.common.ui.GamePanel.commonInit()
 251    1   1    1 com.becker.game.common.ui.GamePanel.getTitle()
 252   66   4    1 com.becker.game.common.ui.GamePanel.initGui()
 253    2   1    0 com.becker.game.common.ui.GamePanel.createBottomDecorationPanel()
 254    6   1    1 com.becker.game.common.ui.GamePanel.createToolBarButton(String,String,Icon)
